FB,TB,IAT,TD,Arrival Time,PC,Packet Size,Acknowledgement Packet Size,RTT,Average Queue Size,System Occupancy,Arrival Rate,Service Rate,Packet Dropped,Time,Sample,Is Attack
1,3,0.03879082717958581,5.094332520321754,0.11934784733896173,125,1487.9690090190606,27.4854104360143,15.684541355292403,130.14285714285714,140.15384615384616,38358.78523884956,273.69056427280145,287,16:29:38:155779,1,0
3,1,0.0010650236391075304,6.725345938676057,0.010289733916668249,1457,128.61253683035397,67.8412763758113,20.628013533057487,5718.142857142857,6158.0,120760.26494409912,19.610306096800766,13566,16:29:38:246831,1,0
3,2,0.45834465736984775,0.014482362874805838,0.4587972312096854,32,181.0295359350733,37.38323518493034,0.4820161049292918,0.6666666666666666,0.125,394.9637745837121,3159.710196669697,2,16:29:38:248433,1,0
2,3,0.15024031823735098,7.386662851941408,0.06914277534702014,216,86.40528906085699,7.682646724567485,22.712585531379563,942.0,1014.4615384615385,575.1138580813783,0.5669153893735152,15591,16:29:38:340613,1,1
2,1,0.018498588453507426,7.762553391956047,0.575931934326786,26,719.8630676480667,7.212486326765552,23.86588247146829,131.68421052631578,139.0,38914.48633809554,279.9603333675938,15992,16:29:38:881505,1,1
3,1,0.06443919825790707,0.01830018687156886,0.06451807837373243,232,228.75233589461013,4.071256934651311,0.09242112002809731,0.75,0.1875,3549.894196061647,18932.769045662117,16,16:29:38:916936,1,0
3,2,0.029951402857650234,7.024586815621965,0.4423081630533767,33,5517.5068098120355,2.561993971001567,21.897566348988942,134.9,142.0,184215.3049069201,1297.290879626198,501,16:29:38:930657,1,0
2,3,0.03205615269562798,7.54164238670823,0.2968873169991329,50,371.1018374414532,24.024378099470944,23.218971147405245,259.1904761904762,272.15,11576.618097781471,42.53763769164605,15923,16:29:39:044125,1,1
1,2,0.017193000775754023,4.750468433871039,0.04655460220417093,322,581.2650973977978,7.528303202318561,14.573848973202207,247.38888888888889,261.94117647058823,33808.24004949221,129.06806216963116,608,16:29:39:115148,1,0
1,3,0.11107454682545105,0.010397849310996436,0.11115214271583161,134,129.97311638746007,70.47867768164117,0.13227824870272895,0.5,0.0625,1170.1431165117183,18722.289864187493,10,16:29:39:120637,1,0
